depth_cm,year,site,vegetation_type,burned
0,2016,4,softwood,TRUE
10,2016,4,softwood,TRUE
20,2016,4,softwood,TRUE
30,2016,4,softwood,TRUE
40,2016,4,softwood,TRUE
190,2016,4,softwood,TRUE
240,2016,4,softwood,TRUE
350,2016,4,softwood,TRUE
420,2016,4,softwood,TRUE
430,2016,4,softwood,TRUE
450,2016,4,softwood,TRUE
460,2016,4,softwood,TRUE
470,2016,4,softwood,TRUE
480,2016,4,softwood,TRUE
490,2016,4,softwood,TRUE
500,2016,4,softwood,TRUE
540,2016,4,softwood,TRUE
560,2016,4,softwood,TRUE
600,2016,4,softwood,TRUE
610,2016,4,softwood,TRUE
630,2016,4,softwood,TRUE
710,2016,4,softwood,TRUE
760,2016,4,softwood,TRUE
20,2016,4,hardwood,TRUE
410,2016,4,hardwood,TRUE
420,2016,4,hardwood,TRUE
440,2016,4,hardwood,TRUE
600,2016,4,hardwood,TRUE
610,2016,4,hardwood,TRUE
630,2016,4,hardwood,TRUE
700,2016,4,hardwood,TRUE
710,2016,4,hardwood,TRUE
