depth_cm,total
0,10649.124603255857
10,6517.687661777392
20,7194.116029694805
30,2553.2219399620735
40,3828.6557332052425
50,5324.314949705166
60,5122.428991185112
70,8585.034478050115
80,3465.0477509141892
90,8925.250230709167
100,5292.609403693565
110,4272.285813388829
120,3507.3874500260713
130,2601.9491291125246
140,23245.73248848723
150,8556.396721766912
160,4964.509824092172
170,7371.250216750478
180,3024.5740158296753
190,5052.671440374553
200,2163.817565229428
210,1937.3945383794207
220,7072.214317937328
230,6577.5957801221575
240,3785.5344980752134
250,4787.178866567548
260,4456.157497905615
270,8133.7913578014795
280,4471.107098208085
290,4852.294372294374
300,3843.4064010084735
310,3942.5215457325535
320,1811.7573700072753
330,2968.978229115948
340,4082.8896544524464
350,5722.032259178668
360,9876.112371313904
370,3780.699923467614
380,6947.298525197457
390,18667.89976966567
400,15618.800913459901
410,6543.201516793067
420,10078.145872294954
430,5300.020479213597
440,3628.75565921251
450,4149.009120208463
460,8060.309419496167
470,4447.573582443247
480,6968.490423560103
490,8326.992287917737
500,4542.294720903023
510,4225.168739507313
520,3856.9367140795707
530,5006.950801885191
540,6809.39083669459
550,6203.350187459157
560,7766.210486400772
570,4901.893287435458
580,2594.117848930986
590,9764.06346589739
600,4485.608138606301
610,4512.054708488886
620,3558.4987419625395
630,3927.8487195589964
640,4536.4366083634195
650,6263.971880492089
660,6295.0257289879955
670,5090.137485970816
680,5551.951486091035
690,8621.715245459956
700,4135.907226700608
710,5105.34903518729
720,10222.35598201324
730,6059.069318952894
740,9482.5702301646
750,5506.235986547085
760,3414.458342166632
770,4628.862359550563
